TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,1,PDL,A,N0,1,67.2,19,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,1,4,0,,,,,,
T1,1,PDL,A,N0,2,60,18,2,1,,4,0,,,1,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,3,60.1,12,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,4,62,16,1,1,,5,0,,,,,,,2,2,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,5,55.5,8,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,6,64.5,16,4,1,,5,0,,,2,,,,2,2,5,0,,,,,,,3,2,5,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,7,55,13,1,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,2,5,0,,,,,,
T1,1,PDL,A,N0,8,64,16,1,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T1,1,PDL,A,N0,9,63.2,13,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,1,4,0,,,,,,
T1,1,PDL,B,N0,1,59.5,19,1,1,,5,0,,,,,,,2,,5,0,,,,,1,,3,,5,0,,,,,,,4,3,5,0,,,,,,
T1,1,PDL,B,N0,2,58.5,16,1,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T1,1,PDL,B,N0,3,64.5,28,5,1,,5,0,,,,,,,2,3,5,0,,,,,,,3,2,5,0,,,,,,,4,2,5,0,,,2,,,
T1,1,PDL,B,N0,4,58,16,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T1,1,PDL,B,N0,5,57,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,B,N0,6,59.2,16,1,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T1,1,PDL,B,N0,7,60.5,16,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,B,N0,8,63.5,16,1,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,1,5,0,,,,,,
T1,1,PDL,B,N0,9,64.2,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,1,68.2,12,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,2,62.5,13,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,3,61,14,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,4,74,13,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,5,64,17,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,6,68.5,11,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,7,61.2,11,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,8,67,14,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,9,74.5,14,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,1,69.5,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,2,66.3,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,3,66,15,1,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,4,68,17,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,5,60,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,6,67.5,17,1,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,B,N0,7,61,14,2,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
