DATE,ASMT,WMGT,NRTE,REP,TRT,NTIL,NTShB,LShB_rating_A,LShB_rating_B,LShB_rating_C,LShB_rating_D,LShB_rating_E,LShB_rating_F,TShB_rating,GL_value,DL_value,YEAR
2015-02-12,1.0,AWD,N0,1,AWD_N0,24.28,0.28,0.0,0.0,0.04,0.0,0.0,0.0,0.06,3.76,0.0,2015.0
2015-02-12,1.0,AWD,N1,1,AWD_N1,27.61,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,2015.0
2015-02-12,1.0,AWD,N2,1,AWD_N2,29.83,6.39,0.0,0.0,0.18,0.26,0.24,0.03,0.33,4.29,0.12,2015.0
2015-02-12,1.0,FLD,N0,1,FLD_N0,19.94,2.5,0.0,0.0,0.12,0.07,0.08,0.0,0.15,4.14,0.07,2015.0
2015-02-12,1.0,FLD,N1,1,FLD_N1,28.06,4.0,0.01,0.0,0.04,0.12,0.14,0.0,0.29,4.47,0.0,2015.0
2015-02-12,1.0,FLD,N2,1,FLD_N2,24.89,0.39,0.0,0.0,0.0,0.01,0.0,0.0,0.06,3.97,0.0,2015.0
2015-02-12,1.0,AWD,N0,2,AWD_N0,23.5,0.5,0.03,0.01,0.0,0.04,0.0,0.0,0.06,3.69,0.0,2015.0
2015-02-12,1.0,AWD,N1,2,AWD_N1,28.56,0.33,0.03,0.01,0.0,0.06,0.0,0.0,0.01,3.93,0.0,2015.0
2015-02-12,1.0,AWD,N2,2,AWD_N2,27.33,0.33,0.0,0.0,0.0,0.04,0.0,0.0,0.03,3.96,0.0,2015.0
2015-02-12,1.0,FLD,N0,2,FLD_N0,20.89,0.17,0.0,0.0,0.04,0.01,0.0,0.0,0.0,4.01,0.0,2015.0
2015-02-12,1.0,FLD,N1,2,FLD_N1,27.72,1.78,0.0,0.0,0.04,0.01,0.08,0.0,0.18,4.08,0.03,2015.0
2015-02-12,1.0,FLD,N2,2,FLD_N2,26.0,0.5,0.0,0.0,0.04,0.0,0.0,0.0,0.06,4.08,0.0,2015.0
2015-02-12,1.0,AWD,N0,3,AWD_N0,24.39,1.06,0.0,0.03,0.04,0.14,0.1,0.0,0.49,3.72,0.04,2015.0
2015-02-12,1.0,AWD,N1,3,AWD_N1,29.44,2.67,0.0,0.06,0.21,0.32,0.11,0.0,0.9,3.85,0.12,2015.0
2015-02-12,1.0,AWD,N2,3,AWD_N2,28.61,0.11,0.0,0.0,0.04,0.06,0.0,0.0,0.06,3.71,0.03,2015.0
2015-02-12,1.0,FLD,N0,3,FLD_N0,20.94,0.28,0.0,0.0,0.0,0.01,0.04,0.0,0.07,3.75,0.01,2015.0
2015-02-12,1.0,FLD,N1,3,FLD_N1,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,2015.0
2015-02-12,1.0,FLD,N2,3,FLD_N2,29.67,2.5,0.0,0.01,0.12,0.18,0.18,0.03,0.56,4.14,0.07,2015.0
2015-02-12,1.0,AWD,N0,4,AWD_N0,26.11,0.33,0.0,0.0,0.0,0.04,0.0,0.0,0.07,4.18,0.0,2015.0
2015-02-12,1.0,AWD,N1,4,AWD_N1,29.11,2.5,0.0,0.0,0.32,0.26,0.12,0.0,0.4,4.03,0.08,2015.0
2015-02-12,1.0,AWD,N2,4,AWD_N2,26.11,1.83,0.0,0.0,0.07,0.24,0.0,0.0,0.64,4.19,0.07,2015.0
2015-02-12,1.0,FLD,N0,4,FLD_N0,23.94,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.12,3.92,0.0,2015.0
2015-02-12,1.0,FLD,N1,4,FLD_N1,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,2015.0
2015-02-12,1.0,FLD,N2,4,FLD_N2,33.17,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.31,0.0,2015.0
2015-02-20,2.0,AWD,N0,1,AWD_N0,17.33,1.72,0.0,0.0,0.0,0.11,0.0,0.0,0.21,4.51,0.0,2015.0
