DATE,ASMT,WMGT,NRTE,REP,TRT,NTIL_mean,NTShB_mean,LShB_rating_mean,LShB_rating_sd,TShB_rating_mean,TShB_rating_sd,TShB_incidence_mean,TShB_incidence_sd,GL_value_mean,DL_value_mean,YEAR
2016-03-15,1,AWD,180,1,AWD_N180,21.17,18.78,0.14,0.34,1.08,0.22,0.89,0,5.194444444444445,0.4444444444444444,2016
2016-03-15,1,AWD,60,1,AWD_N60,21.33,14.83,0.06,0.22,1.32,0.44,0.71,0,5.166666666666667,0.4166666666666667,2016
2016-03-15,1,FLD,180,1,FLD_N180,22.28,18.67,0.12,0.32,1.35,0.49,0.84,0,5,0.08333333333333333,2016
2016-03-15,1,FLD,60,1,FLD_N60,19.33,11.56,0.03,0.1,0.78,0.51,0.61,0,5.138888888888889,0.6527777777777778,2016
2016-03-15,1,AWD,180,2,AWD_N180,20.61,18.17,0.14,0.35,1.93,0.47,0.89,0,5.055555555555555,0.125,2016
2016-03-15,1,AWD,60,2,AWD_N60,19.89,15.5,0.12,0.31,1.69,0.6,0.78,0,5,0,2016
2016-03-15,1,FLD,180,2,FLD_N180,23.56,18.39,0.16,0.38,1.86,0.59,0.78,0,5.055555555555555,0.125,2016
2016-03-15,1,FLD,60,2,FLD_N60,20.61,18.17,0.08,0.16,1.71,0.56,0.89,0,5.041666666666667,0.1111111111111111,2016
2016-03-15,1,AWD,180,3,AWD_N180,21.28,18,0.04,0.14,1.26,0.64,0.84,0,5.111111111111111,0.06944444444444445,2016
2016-03-15,1,AWD,60,3,AWD_N60,18.06,13.28,0.09,0.25,1.4,0.51,0.75,0,5.097222222222222,0.1527777777777778,2016
2016-03-15,1,FLD,180,3,FLD_N180,22.39,22.39,0.08,0.26,1.46,0.2,1,0,4.875,0.08333333333333333,2016
2016-03-15,1,FLD,60,3,FLD_N60,19.22,12.94,0.12,0.35,1.58,0.46,0.69,0,5.111111111111111,0.06944444444444445,2016
2016-03-15,1,AWD,180,4,AWD_N180,21.28,21.28,0.05,0.16,1.4,0.38,1,0,5.083333333333333,0.2361111111111111,2016
2016-03-15,1,AWD,60,4,AWD_N60,21.83,20.61,0.08,0.27,1.25,0.26,0.94,0,5.097222222222222,0.1527777777777778,2016
2016-03-15,1,FLD,180,4,FLD_N180,26.28,26.28,0.08,0.25,2.26,0.29,1,0,2.8333333333333335,0.08333333333333333,2016
2016-03-15,1,FLD,60,4,FLD_N60,23.11,17.78,0.06,0.22,1.79,0.55,0.77,0,5.041666666666667,0.1111111111111111,2016
2016-03-29,2,AWD,180,1,AWD_N180,20.78,14.06,0.18,0.51,2.29,0.71,0.68,0,4.625,0.5,2016
2016-03-29,2,AWD,60,1,AWD_N60,21.61,13.5,0.17,0.5,1.82,0.71,0.63,0,4.319444444444445,1.0416666666666667,2016
2016-03-29,2,FLD,180,1,FLD_N180,21.56,14.44,0.15,0.36,1.44,0.52,0.67,0,4.777777777777778,0.4444444444444444,2016
2016-03-29,2,FLD,60,1,FLD_N60,18.17,12.44,0.14,0.36,1.74,0.63,0.69,0,4.416666666666667,0.6388888888888888,2016
