TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,1,FLD,A,N0,1,80,18,2,1,1,2,3,,,,1,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,2,3,,,,,,
T1,1,FLD,A,N0,2,77.9,15,0,1,,2,3,,,,,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,1,4,,,,,,
T1,1,FLD,A,N0,3,76,25,3,1,2,1,4,,,2,2,2,,2,,1,4,,,,,,,3,,1,4,,,,,,,4,,2,3,,,,,,
T1,1,FLD,A,N0,4,78.3,14,0,1,,1,4,,,,,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,2,3,,,,,,
T1,1,FLD,A,N0,5,72.5,12,0,1,,2,3,,,,,,,2,,2,3,,,,,,,3,,1,4,,,,,,,4,,2,3,,,,,,
T1,1,FLD,A,N0,6,76.5,16,2,1,1,2,3,,,,,,,2,,2,3,,,,,,,3,,1,4,,,,,,,4,,1,4,,,,,,
T1,1,FLD,A,N0,7,82.7,14,0,1,,3,2,,,,,,,2,,2,3,,,,,,,3,,3,2,,,,,,,4,,2,3,,,,,,
T1,1,FLD,A,N0,8,81.2,14,0,1,,2,3,,,,,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,3,2,,,,,,
T1,1,FLD,A,N0,9,82,18,0,1,,2,3,,,,,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,2,3,,,,,,
T1,1,FLD,B,N0,1,80.4,17,4,1,3,2,3,,,,2,2,,2,,1,4,,,,,,,3,,1,4,,,,,,,4,,1,4,,,,,,
T1,1,FLD,B,N0,2,79.5,18,0,1,,1,4,,,,,,,2,,1,4,,,,,,,3,,1,4,,,,,,,4,,2,3,,,,,,
T1,1,FLD,B,N0,3,83,12,0,1,,1,4,,,,,,,2,,1,4,,,,,,,3,,1,4,,,,,,,4,,2,3,,,,,,
T1,1,FLD,B,N0,4,81.3,16,2,1,2,1,4,,,1,1,,,2,,1,4,,,,,,,3,,1,4,,,,,,,4,,2,3,,,,,,
T1,1,FLD,B,N0,5,74,8,0,1,,1,4,,,,,,,2,,2,3,,,,,,,3,,2,3,,,,,,,4,,2,3,,,,,,
T1,1,FLD,B,N0,6,82.3,12,2,1,3,2,3,,,1,1,1,,2,,2,3,,,,,,,3,,1,4,,,,,,,4,,1,4,,,,,,
