DATE,REP,WMGT,NRTE,SMPL,HILL,NTIL,NTShB,NSHShB,TIL,GL,DL,ShBL1,ShBL2,ShBL3,ShBL4,ShBL5,ShBL6
12-Apr-16,1,AWD,N1, A,1,20,20,1,1,3,2,0,0,0,,,
,1,AWD,N1, A,1,,,1,2,2,1,0,0,,,,
,1,AWD,N1, A,1,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, A,1,,,3,4,1,2,0,,,,,
,1,AWD,N1, A,2,27,20,1,1,3,2,0,0,0,,,
,1,AWD,N1, A,2,,,1,2,3,2,0,0,0,,,
,1,AWD,N1, A,2,,,3,3,2,2,0,0,,,,
,1,AWD,N1, A,2,,,3,4,2,2,0,0,,,,
,1,AWD,N1, A,3,20,20,1,1,3,1,0,0,0,,,
,1,AWD,N1, A,3,,,1,2,4,,0,0,0,0,,
,1,AWD,N1, A,3,,,3,3,3,1,0,0,0,,,
,1,AWD,N1, A,3,,,3,4,3,1,0,1,0,,,
,1,AWD,N1, A,4,21,18,1,1,4,,1,0,0,0,,
,1,AWD,N1, A,4,,,1,2,3,,0,0,0,,,
,1,AWD,N1, A,4,,,1,3,4,1,0,1,0,0,,
,1,AWD,N1, A,4,,,1,4,4,,0,1,0,0,,
,1,AWD,N1, A,5,14,10,3,1,4,,0,0,0,0,,
,1,AWD,N1, A,5,,,1,2,3,1,0,0,0,,,
,1,AWD,N1, A,5,,,3,3,4,1,1,0,0,0,,
,1,AWD,N1, A,5,,,3,4,2,2,1,0,,,,
,1,AWD,N1, A,6,17,11,1,1,3,1,0,0,0,,,
,1,AWD,N1, A,6,,,1,2,4,,0,0,0,0,,
,1,AWD,N1, A,6,,,1,3,4,,0,0,0,0,,
,1,AWD,N1, A,6,,,1,4,4,,1,0,0,0,,
,1,AWD,N1, A,7,27,17,3,1,3,,0,0,0,,,
,1,AWD,N1, A,7,,,3,2,2,1,0,0,,,,
,1,AWD,N1, A,7,,,1,3,3,,0,0,1,,,
,1,AWD,N1, A,7,,,3,4,2,,0,0,,,,
,1,AWD,N1, A,8,25,25,1,1,3,1,0,0,0,,,
,1,AWD,N1, A,8,,,3,2,3,1,0,0,0,,,
,1,AWD,N1, A,8,,,3,3,4,,1,1,0,0,,
,1,AWD,N1, A,8,,,3,4,4,,0,0,0,0,,
,1,AWD,N1, A,9,20,15,1,1,3,1,0,0,0,,,
,1,AWD,N1, A,9,,,3,2,3,1,0,0,0,,,
,1,AWD,N1, A,9,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, A,9,,,1,4,3,1,0,0,0,,,
12-Apr-16,1,AWD,N1, B,1,21,15,3,1,3,1,0,0,0,,,
,1,AWD,N1, B,1,,,1,2,4,,0,0,0,0,,
,1,AWD,N1, B,1,,,1,3,3,,0,0,0,,,
,1,AWD,N1, B,1,,,1,4,4,,0,0,0,,,
,1,AWD,N1, B,2,20,17,1,1,4,1,0,0,0,0,,
,1,AWD,N1, B,2,,,1,2,4,1,0,0,0,0,,
,1,AWD,N1, B,2,,,3,3,3,1,0,0,0,,,
,1,AWD,N1, B,2,,,1,4,3,1,0,0,0,,,
,1,AWD,N1, B,3,24,22,3,1,3,,0,0,0,,,
,1,AWD,N1, B,3,,,1,2,3,1,0,0,0,,,
,1,AWD,N1, B,3,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,3,,,1,4,3,1,0,0,0,,,
,1,AWD,N1, B,4,22,18,3,1,3,1,0,0,0,,,
,1,AWD,N1, B,4,,,3,2,3,1,0,0,0,,,
,1,AWD,N1, B,4,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,4,,,1,4,3,,0,0,0,,,
,1,AWD,N1, B,5,13,12,1,1,3,,0,0,0,,,
,1,AWD,N1, B,5,,,3,2,3,,0,0,0,,,
,1,AWD,N1, B,5,,,1,3,3,,0,0,0,,,
,1,AWD,N1, B,5,,,1,4,3,,0,0,0,,,
,1,AWD,N1, B,6,19,17,3,1,3,1,0,0,0,,,
,1,AWD,N1, B,6,,,3,2,3,1,0,0,0,,,
,1,AWD,N1, B,6,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,6,,,1,4,3,1,0,0,0,,,
,1,AWD,N1, B,7,26,26,1,1,3,1,0,0,0,,,
,1,AWD,N1, B,7,,,3,2,3,1,0,0,0,,,
,1,AWD,N1, B,7,,,3,3,3,1,0,0,0,,,
,1,AWD,N1, B,7,,,1,4,3,1,0,0,0,,,
,1,AWD,N1, B,8,20,20,3,1,3,1,0,0,0,,,
,1,AWD,N1, B,8,,,1,2,3,1,0,0,0,,,
,1,AWD,N1, B,8,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,8,,,1,4,3,1,0,0,0,,,
,1,AWD,N1, B,9,17,17,3,1,3,1,0,0,0,,,
,1,AWD,N1, B,9,,,3,2,3,1,1,0,0,,,
,1,AWD,N1, B,9,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,9,,,1,4,3,1,0,0,0,,,
12-Apr-16,1,AWD,N2,A,1,21,21,3,1,4,,0,0,0,0,,
,1,AWD,N2,A,1,,,3,2,4,,0,2,0,0,,
,1,AWD,N2,A,1,,,3,3,4,,0,0,0,0,,
,1,AWD,N2,A,1,,,1,4,4,,0,0,0,0,,
,1,AWD,N2,A,2,21,11,1,1,4,,0,0,0,0,,
,1,AWD,N2,A,2,,,1,2,4,,0,0,0,0,,
,1,AWD,N2,A,2,,,1,3,4,,0,0,0,0,,
,1,AWD,N2,A,2,,,1,4,4,,0,0,0,0,,
,1,AWD,N2,A,3,21,21,1,1,4,1,0,0,0,0,,
,1,AWD,N2,A,3,,,1,2,4,1,0,0,0,0,,
,1,AWD,N2,A,3,,,3,3,4,1,0,0,0,0,,
,1,AWD,N2,A,3,,,1,4,4,1,0,0,0,0,,
,1,AWD,N2,A,4,22,15,3,1,4,1,0,0,0,0,,
,1,AWD,N2,A,4,,,1,2,4,1,0,0,0,0,,
,1,AWD,N2,A,4,,,3,3,4,1,0,0,0,0,,
,1,AWD,N2,A,4,,,3,4,4,1,0,0,0,0,,
,1,AWD,N2,A,5,25,16,1,1,4,1,0,0,0,0,,
,1,AWD,N2,A,5,,,1,2,4,1,0,0,0,0,,
,1,AWD,N2,A,5,,,3,3,4,1,0,0,0,0,,
,1,AWD,N2,A,5,,,1,4,4,1,2,0,0,0,,
,1,AWD,N2,A,6,19,19,3,1,4,1,0,0,0,0,,
,1,AWD,N2,A,6,,,3,2,4,1,0,0,0,0,,
,1,AWD,N2,A,6,,,3,3,4,1,1,0,0,0,,
,1,AWD,N2,A,6,,,3,4,4,1,0,0,0,0,,
,1,AWD,N2,A,7,28,28,3,1,4,1,0,0,0,0,,
,1,AWD,N2,A,7,,,3,2,4,,0,0,0,0,,
,1,AWD,N2,A,7,,,3,3,4,2,0,0,0,0,,
