TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SHB1,SHB2,SHB3,SHB4,TSHB
T1,1,FLD,A,N0,1,83.5,17,2,0,0,0,5,1.25
T1,1,FLD,A,N0,2,80.0,18,1,0,0,0,1,0.25
T1,1,FLD,A,N0,3,76.5,12,1,0,0,0,5,1.25
T1,1,FLD,A,N0,4,81.0,16,2,0,0,0,15,3.75
T1,1,FLD,A,N0,5,74.0,8,0,0,0,0,0,0.00
T1,1,FLD,A,N0,6,83.3,14,2,0,0,0,15,3.75
T1,1,FLD,A,N0,7,75.0,11,0,0,0,0,0,0.00
T1,1,FLD,A,N0,8,75.5,16,1,0,0,5,0,1.25
T1,1,FLD,A,N0,9,78.2,12,0,0,0,0,0,0.00
T1,1,FLD,B,N0,1,85.1,18,2,0,0,0,15,3.75
T1,1,FLD,B,N0,2,79.0,18,0,0,0,0,0,0.00
T1,1,FLD,B,N0,3,76.0,27,2,0,5,0,0,1.25
T1,1,FLD,B,N0,4,71.0,14,0,0,0,0,0,0.00
T1,1,FLD,B,N0,5,71.3,14,0,0,0,0,0,0.00
T1,1,FLD,B,N0,6,76.3,18,1,0,0,0,5,1.25
T1,1,FLD,B,N0,7,81.1,18,1,0,0,0,5,1.25
T1,1,FLD,B,N0,8,83.3,16,0,0,0,0,0,0.00
T1,1,FLD,B,N0,9,79.5,23,2,0,0,5,0,1.25
T1,2,FLD,A,N0,1,88.0,18,1,1,0,0,0,0.25
T1,2,FLD,A,N0,2,88.5,19,0,0,0,0,0,0.00
T1,2,FLD,A,N0,3,85.0,15,5,1,1,0,0,0.50
T1,2,FLD,A,N0,4,84.2,16,0,0,0,0,0,0.00
T1,2,FLD,A,N0,5,77.0,13,2,5,0,0,0,1.25
T1,2,FLD,A,N0,6,82.0,15,0,0,0,0,0,0.00
T1,2,FLD,A,N0,7,83.0,11,2,1,0,0,0,0.25
T1,2,FLD,A,N0,8,93.0,15,2,1,0,0,0,0.25
T1,2,FLD,A,N0,9,86.0,17,2,1,0,0,0,0.25
T1,2,FLD,B,N0,1,84.0,10,0,0,0,0,0,0.00
T1,2,FLD,B,N0,2,81.2,11,0,0,0,0,0,0.00
T1,2,FLD,B,N0,3,83.0,12,0,0,0,0,0,0.00
T1,2,FLD,B,N0,4,86.9,12,0,0,0,0,0,0.00
