"DATE","REP","WMGT","NRTE","SMPL","HILL","NTIL","NTShB","NSHShB","TIL","GL","DL","ShBL1","ShBL2","ShBL3","ShBL4","ShBL5","ShBL6"
"26-Apr-16","1","AWD","N1"," A","1","19","14","1","1","1","2","0","","","","",""
"","1","AWD","N1"," A","1","","","1","2","2","3","0","0","","","",""
"","1","AWD","N1"," A","1","","","1","3","2","1","0","0","","","",""
"","1","AWD","N1"," A","1","","","2","4","1","2","0","","","","",""
"","1","AWD","N1"," A","2","27","11","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," A","2","","","1","2","2","3","0","0","","","",""
"","1","AWD","N1"," A","2","","","2","3","2","2","0","0","","","",""
"","1","AWD","N1"," A","2","","","2","4","2","2","0","0","","","",""
"","1","AWD","N1"," A","3","20","13","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," A","3","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," A","3","","","3","3","2","1","0","0","","","",""
"","1","AWD","N1"," A","3","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," A","4","18","9","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," A","4","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," A","4","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," A","4","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," A","5","13","10","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," A","5","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," A","5","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," A","5","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," A","6","18","13","1","1","2","3","0","0","","","",""
"","1","AWD","N1"," A","6","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," A","6","","","1","3","2","1","0","0","","","",""
"","1","AWD","N1"," A","6","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," A","7","26","11","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," A","7","","","1","2","2","3","0","0","","","",""
"","1","AWD","N1"," A","7","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," A","7","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," A","8","21","14","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," A","8","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," A","8","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," A","8","","","1","4","2","2","0","0","","","",""
"","1","AWD","N1"," A","9","20","18","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," A","9","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," A","9","","","1","3","2","1","0","0","","","",""
"","1","AWD","N1"," A","9","","","1","4","2","2","0","0","","","",""
"26-Apr-16","1","AWD","N1"," B","1","24","17","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," B","1","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," B","1","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," B","1","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," B","2","20","14","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," B","2","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," B","2","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," B","2","","","2","4","1","3","0","","","","",""
"","1","AWD","N1"," B","3","23","17","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","3","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," B","3","","","1","3","2","1","0","0","","","",""
"","1","AWD","N1"," B","3","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," B","4","20","7","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","4","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," B","4","","","1","3","2","3","0","0","","","",""
"","1","AWD","N1"," B","4","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," B","5","15","10","2","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","5","","","1","2","2","2","0","0","","","",""
"","1","AWD","N1"," B","5","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," B","5","","","2","4","1","1","0","","","","",""
"","1","AWD","N1"," B","6","17","13","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","6","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," B","6","","","1","3","1","2","0","","","","",""
"","1","AWD","N1"," B","6","","","1","4","2","2","0","0","","","",""
"","1","AWD","N1"," B","7","26","12","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","7","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," B","7","","","1","3","2","1","0","0","","","",""
"","1","AWD","N1"," B","7","","","1","4","2","2","0","0","","","",""
"","1","AWD","N1"," B","8","26","18","1","1","2","1","0","0","","","",""
"","1","AWD","N1"," B","8","","","2","2","2","2","0","0","","","",""
"","1","AWD","N1"," B","8","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," B","8","","","1","4","2","1","0","0","","","",""
"","1","AWD","N1"," B","9","18","12","1","1","2","2","0","0","","","",""
"","1","AWD","N1"," B","9","","","1","2","2","1","0","0","","","",""
"","1","AWD","N1"," B","9","","","1","3","2","2","0","0","","","",""
"","1","AWD","N1"," B","9","","","1","4","2","1","0","0","","","",""
"26-Apr-16","1","AWD","N2","A","1","20","12","1","1","2","","0","0","","","",""
"","1","AWD","N2","A","1","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","A","1","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","A","1","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","2","25","25","1","1","3","2","0","0","0","","",""
"","1","AWD","N2","A","2","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","A","2","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","A","2","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","3","24","24","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","3","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","3","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","A","3","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","4","22","22","1","1","2","1","0","0","","","",""
"","1","AWD","N2","A","4","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","4","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","A","4","","","1","4","2","1","0","0","","","",""
"","1","AWD","N2","A","5","25","24","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","5","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","5","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","A","5","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","6","23","20","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","6","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","6","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","A","6","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","7","26","14","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","7","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","A","7","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","A","7","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","A","8","20","17","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","8","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","8","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","A","8","","","1","4","3","1","0","0","0","","",""
"","1","AWD","N2","A","9","16","14","1","1","2","2","0","0","","","",""
"","1","AWD","N2","A","9","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","A","9","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","A","9","","","1","4","2","2","0","0","","","",""
"26-Apr-16","1","AWD","N2","B","1","21","15","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","1","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","1","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","1","","","1","4","2","1","0","0","","","",""
"","1","AWD","N2","B","2","23","12","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","2","","","1","2","1","2","0","","","","",""
"","1","AWD","N2","B","2","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","B","2","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","3","23","23","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","3","","","1","2","3","2","0","0","","","",""
"","1","AWD","N2","B","3","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","B","3","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","4","20","13","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","4","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","4","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","4","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","5","17","11","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","5","","","1","2","3","2","0","0","0","","",""
"","1","AWD","N2","B","5","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","5","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","6","22","15","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","6","","","1","2","2","1","0","0","","","",""
"","1","AWD","N2","B","6","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","6","","","1","4","3","1","0","0","0","","",""
"","1","AWD","N2","B","7","26","23","1","1","2","1","0","0","","","",""
"","1","AWD","N2","B","7","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","7","","","1","3","2","2","0","0","","","",""
"","1","AWD","N2","B","7","","","1","4","2","2","0","0","","","",""
"","1","AWD","N2","B","8","16","13","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","8","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","8","","","1","3","1","1","0","","","","",""
"","1","AWD","N2","B","8","","","1","4","2","1","0","0","","","",""
"","1","AWD","N2","B","9","14","14","1","1","2","2","0","0","","","",""
"","1","AWD","N2","B","9","","","1","2","2","2","0","0","","","",""
"","1","AWD","N2","B","9","","","1","3","2","1","0","0","","","",""
"","1","AWD","N2","B","9","","","1","4","2","1","0","0","","","",""
"26-Apr-16","1","PDL","N1","A","1","15","9","1","1","2","1","0","0","","","",""
"","1","PDL","N1","A","1","","","1","2","2","2","0","0","","","",""
"","1","PDL","N1","A","1","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","1","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","2","25","22","3","1","2","2","0","0","","","",""
"","1","PDL","N1","A","2","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","A","2","","","1","3","2","1","0","0","","","",""
"","1","PDL","N1","A","2","","","1","4","2","2","0","0","","","",""
"","1","PDL","N1","A","3","24","15","1","1","1","2","0","","","","",""
"","1","PDL","N1","A","3","","","3","2","2","2","0","0","","","",""
"","1","PDL","N1","A","3","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","3","","","1","4","1","2","0","","","","",""
"","1","PDL","N1","A","4","16","13","1","1","1","2","0","","","","",""
"","1","PDL","N1","A","4","","","1","2","2","1","0","0","","","",""
"","1","PDL","N1","A","4","","","1","3","2","2","0","0","","","",""
"","1","PDL","N1","A","4","","","1","4","2","1","0","0","","","",""
"","1","PDL","N1","A","5","23","17","1","1","2","2","0","0","","","",""
"","1","PDL","N1","A","5","","","3","2","2","2","0","0","","","",""
"","1","PDL","N1","A","5","","","1","3","3","2","0","0","","","",""
"","1","PDL","N1","A","5","","","3","4","2","1","0","0","","","",""
