TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,1,PDL,A,N0,1,83.5,17,2,1,,4,1,,,,,1,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T1,1,PDL,A,N0,2,80,18,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,1,4,0,,,,,,
T1,1,PDL,A,N0,3,76.5,12,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T1,1,PDL,A,N0,4,81,16,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,2,
T1,1,PDL,A,N0,5,74,8,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,6,83.3,14,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,2,
T1,1,PDL,A,N0,7,75,11,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,8,75.5,16,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,9,78.2,12,0,1,,4,0,,,,,,,2,,4,1,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,1,85.1,18,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,3,4,0,,,,,2,
T1,1,PDL,B,N0,2,79,18,0,1,,4,1,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,3,76,27,2,1,,4,0,,,,,,,2,2,4,0,,,,,1,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,4,71,14,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,5,71.3,14,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,6,76.3,18,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,1,
T1,1,PDL,B,N0,7,81.1,18,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T1,1,PDL,B,N0,8,83.3,16,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,9,79.5,23,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T1,2,PDL,A,N0,1,88,18,1,1,1,4,1,,,,1,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,2,88.5,19,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,3,85,15,5,1,1,4,1,,,,1,,,2,1,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,4,84.2,16,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,5,77,13,2,1,2,4,1,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T1,2,PDL,A,N0,6,82,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T1,2,PDL,A,N0,7,83,11,2,1,1,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
