DATE,REP,WMGT,NRTE,SMPL,HILL,NTIL,NTShB,NSHShB,TIL,GL,DL,ShBL1,ShBL2,ShBL3,ShBL4,ShBL5,ShBL6
29-Mar-16,1,AWD,N1, A,1,24,18,3,1,3,2,2,1,0,,,
,1,AWD,N1, A,1,,,1,2,4,1,1,1,0,0,,
,1,AWD,N1, A,1,,,1,3,4,1,0,1,0,0,,
,1,AWD,N1, A,1,,,1,4,4,1,1,0,0,0,,
,1,AWD,N1, A,2,28,14,1,1,4,2,0,0,0,0,,
,1,AWD,N1, A,2,,,1,2,3,2,2,0,0,,,
,1,AWD,N1, A,2,,,3,3,5,1,0,0,0,0,0,
,1,AWD,N1, A,2,,,3,4,3,2,0,0,0,,,
,1,AWD,N1, A,3,22,11,3,1,4,1,0,0,0,0,,
,1,AWD,N1, A,3,,,1,2,4,1,0,0,0,0,,
,1,AWD,N1, A,3,,,3,3,3,2,2,0,0,,,
,1,AWD,N1, A,3,,,3,4,3,2,0,0,0,,,
,1,AWD,N1, A,4,17,10,3,1,6,,0,0,1,0,0,0
,1,AWD,N1, A,4,,,1,2,5,,1,1,0,0,0,
,1,AWD,N1, A,4,,,2,3,5,,0,0,0,0,0,
,1,AWD,N1, A,4,,,1,4,4,1,0,1,0,0,,
,1,AWD,N1, A,5,14,9,3,1,5,1,0,1,0,0,0,
,1,AWD,N1, A,5,,,1,2,4,1,0,0,0,0,,
,1,AWD,N1, A,5,,,1,3,4,1,0,2,0,0,,
,1,AWD,N1, A,5,,,1,4,4,,1,0,0,0,,
,1,AWD,N1, A,6,18,9,3,1,4,1,0,0,0,0,,
,1,AWD,N1, A,6,,,3,2,4,1,0,0,0,0,,
,1,AWD,N1, A,6,,,3,3,4,1,1,0,0,0,,
,1,AWD,N1, A,6,,,1,4,4,1,0,0,0,0,,
,1,AWD,N1, A,7,25,8,1,1,3,1,1,0,0,,,
,1,AWD,N1, A,7,,,1,2,4,1,1,1,0,0,,
,1,AWD,N1, A,7,,,1,3,4,1,3,0,0,0,,
,1,AWD,N1, A,7,,,1,4,5,,3,3,0,0,0,
,1,AWD,N1, A,8,25,20,3,1,4,1,0,0,0,0,,
,1,AWD,N1, A,8,,,1,2,5,1,2,0,0,0,0,
,1,AWD,N1, A,8,,,1,3,4,1,0,0,0,0,,
,1,AWD,N1, A,8,,,3,4,4,1,0,1,0,0,,
,1,AWD,N1, A,9,23,13,1,1,5,1,0,0,0,0,0,
,1,AWD,N1, A,9,,,1,2,5,,0,0,0,0,0,
,1,AWD,N1, A,9,,,3,3,3,3,1,1,1,,,
,1,AWD,N1, A,9,,,1,4,4,1,0,0,1,0,,
29-Mar-16,1,AWD,N1, B,1,22,10,3,1,5,1,0,1,3,0,0,
,1,AWD,N1, B,1,,,1,2,5,,1,0,0,0,0,
,1,AWD,N1, B,1,,,1,3,5,,0,0,0,0,0,
,1,AWD,N1, B,1,,,1,4,5,,0,1,0,0,0,
,1,AWD,N1, B,2,21,16,3,1,4,2,0,1,0,0,,
,1,AWD,N1, B,2,,,1,2,3,2,2,,0,,,
,1,AWD,N1, B,2,,,3,3,5,1,0,0,0,0,0,
,1,AWD,N1, B,2,,,3,4,5,1,5,0,0,0,0,
,1,AWD,N1, B,3,26,13,1,1,5,1,0,0,0,0,0,
,1,AWD,N1, B,3,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,3,,,1,3,5,,2,0,0,0,0,
,1,AWD,N1, B,3,,,1,4,5,1,0,0,0,0,0,
,1,AWD,N1, B,4,23,11,1,1,4,2,0,0,0,0,,
,1,AWD,N1, B,4,,,3,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,4,,,1,3,5,1,1,0,0,0,0,
,1,AWD,N1, B,4,,,3,4,5,1,0,0,0,0,0,
,1,AWD,N1, B,5,15,11,1,1,4,1,1,0,0,0,,
,1,AWD,N1, B,5,,,3,2,4,2,2,0,0,0,,
,1,AWD,N1, B,5,,,1,3,3,1,0,0,0,,,
,1,AWD,N1, B,5,,,1,4,4,1,0,0,0,0,,
,1,AWD,N1, B,6,19,16,3,1,4,1,0,1,0,0,,
,1,AWD,N1, B,6,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,6,,,3,3,5,,0,1,0,0,0,
,1,AWD,N1, B,6,,,3,4,5,2,1,1,0,0,0,
,1,AWD,N1, B,7,27,18,1,1,4,1,0,0,0,0,,
,1,AWD,N1, B,7,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,7,,,1,3,5,1,0,0,0,0,0,
